Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
635208976,-0.92,121.63,3.5,18.90,27.8,28.0,82.9
638582428,-0.99,120.53,3.8,17.56,28.4,28.7,82.4
641955880,-1.07,119.25,4.1,16.22,29.2,29.4,81.9
645329332,-1.13,117.96,4.4,15.37,29.9,30.2,81.6
648702784,-1.17,116.59,4.6,14.89,30.7,31.0,81.4
652076236,-1.18,115.10,4.7,14.77,31.6,31.9,81.5
655449688,-1.18,113.62,4.8,14.75,32.5,32.8,81.5
658823140,-1.11,112.13,4.6,15.61,33.4,33.8,82.1
662196592,-1.09,110.63,4.6,15.96,34.4,34.7,82.3
665570044,-0.97,109.37,4.2,17.85,35.3,35.5,83.2
668943496,-0.87,108.53,3.8,20.08,35.8,36.0,84.0
672316948,-0.76,106.99,3.4,22.98,36.9,37.0,84.8
675690400,-0.61,106.09,2.8,28.43,37.5,37.6,85.8
679063852,-0.48,105.32,2.2,36.41,38.1,38.2,86.7
682437304,-0.33,104.74,1.5,53.31,38.5,38.6,87.8
685810756,-0.18,104.19,0.8,98.51,38.9,38.9,88.8
689184208,-0.04,103.94,0.2,417.51,39.1,39.1,89.7
692557660,0.00,103.84,0.0,?,39.2,39.2,90.0
695931112,0.00,104.12,0.0,?,39.0,39.0,90.0
699304564,0.00,104.24,0.0,?,38.9,38.9,90.0
702678016,0.00,104.69,0.0,?,38.6,38.6,90.0
706051468,0.00,105.02,0.0,?,38.4,38.4,90.0
709424920,0.00,105.46,0.0,?,38.0,38.0,90.0
712798372,0.00,105.85,0.0,?,37.8,37.8,90.0
716171824,0.00,106.23,0.0,?,37.5,37.5,90.0
719545276,0.00,106.32,0.0,?,37.5,37.5,90.0
722918728,0.00,106.61,0.0,?,37.3,37.3,90.0
726292180,0.00,106.62,0.0,?,37.3,37.3,90.0
729665632,-0.05,106.48,0.2,330.06,37.3,37.3,89.6
733039084,-0.18,106.25,0.8,96.01,37.5,37.5,88.8
736412536,-0.31,105.81,1.4,56.84,37.8,37.8,87.9
739785988,-0.46,105.37,2.1,37.99,38.1,38.1,86.9
743159440,-0.61,104.66,2.8,28.36,38.5,38.6,85.8
746532892,-0.74,103.52,3.4,23.61,39.3,39.4,85.0
749906344,-0.83,102.35,3.9,20.83,40.1,40.3,84.4
753279796,-0.92,101.22,4.4,18.84,40.9,41.1,83.8
756653248,-0.99,99.79,4.9,17.51,41.9,42.2,83.4
760026700,-1.07,98.30,5.3,16.29,42.9,43.3,82.9
763400152,-1.08,96.84,5.5,16.06,44.1,44.4,82.8
766773604,-1.10,95.32,5.8,15.82,45.2,45.6,82.7
770147056,-1.07,93.99,5.7,16.33,46.3,46.7,83.0
773520508,-1.01,92.41,5.5,17.29,47.6,48.0,83.4
776893960,-0.90,91.07,5.0,19.42,48.8,49.1,84.1
780267412,-0.78,90.10,4.5,22.19,49.7,49.9,84.8
783640864,-0.68,89.01,4.0,25.55,50.7,50.9,85.5
787014316,-0.56,88.05,3.3,31.12,51.6,51.7,86.3
790387768,-0.44,87.55,2.6,39.46,52.1,52.2,87.1
793761220,-0.30,87.05,1.8,58.49,52.6,52.6,88.0
797134672,-0.17,86.68,1.1,101.02,53.0,53.0,88.9
800508124,-0.09,86.60,0.6,190.09,53.1,53.1,89.4
803881576,0.00,86.64,0.0,?,53.0,53.0,90.0
807255028,0.00,86.79,0.0,?,52.9,52.9,90.0
810628480,0.00,86.78,0.0,?,52.9,52.9,90.0
814001932,0.00,86.91,0.0,?,52.8,52.8,90.0
817375384,0.00,86.98,0.0,?,52.7,52.7,90.0
820748836,0.00,87.19,0.0,?,52.5,52.5,90.0
824122288,-0.00,87.25,0.0,563.39,52.5,52.5,90.0
